,id,script
0,2YiZrIJzUsk,예 오수학의 다 합창에 곱을 이용한 인수분해 파트 투입니다
1,2YiZrIJzUsk,자 여러분들께서 아마 시중에 문제집들을 보시면요
2,2YiZrIJzUsk,이인 수분해를 쪽 공부할 거야
3,2YiZrIJzUsk,그래서 여러분들이 문제집에서 인수분의 마 풀고 공부했어요
4,2YiZrIJzUsk,그리고 나면 뒤쪽에 문제들이 몇 페이지가 나오고 뭐 단원 종합문제라던가 이런 이름이 붙어서 최종적으로 정리하는 파트 있죠
5,2YiZrIJzUsk,문제 이상 개죽 붙어 있는 거기에서 고난도 이렇게 들어 있는 거암 앞으로 본 적이 있을 겁니다
6,2YiZrIJzUsk,그런 고난도 파트에 들어있는 문제예요
7,2YiZrIJzUsk,항상 들어있다는 게 뭐 시험에서 당연히 잘 나온다는 얘기예요
8,2YiZrIJzUsk,자 이 문제 한 번같이 보도록 하겠습니다 이 수분해 공식을 이용하여 다음을 계산하여라고 이렇고 뭐해 제 부분에 곱하기해서 쭉 해서의 제곱 분의까지 여러분들이 이제 중쯤 돼서 이 강의를 듣고 있다면 늦게 왔어요
9,2YiZrIJzUsk,설마 이걸 개 직접 하는 걸 아닐 거야
10,2YiZrIJzUsk,되죠
11,2YiZrIJzUsk,정확히 얘기하면 개적 직접 하는 걸 아닐 거라 아니에요
12,2YiZrIJzUsk,그럼 어떻게 풀어야 할까
13,2YiZrIJzUsk,지금 우리 제목이 인수분해 공식을 이용하여라고 있잖아요
14,2YiZrIJzUsk,그럼 어떤 공식을 이용할까 기본적으로 과로 한 각각을 봤을 때는 항의 개로 이루어져 있어요 수가 따개로 이루어져 있어요
15,2YiZrIJzUsk,그 개로 이루어져 있는 것 중에 우리가 알고 있는 인수 불의 공식은 바로 제곱 영입이 제고 배용제 줘
16,2YiZrIJzUsk,그게 바로 한 번은 더해주고 한 번은 빼준다
17,2YiZrIJzUsk,이렇게 인수분해 된다는 결과인 거예요
18,2YiZrIJzUsk,그렇다면 이 공식을 이용해서 이 문제를 풀어야 돼
19,2YiZrIJzUsk,근데 잘 안 보여요
20,2YiZrIJzUsk,매치가 안 돼서 여러분들이 그렇죠 왜 매치가 안 되니 앞으로 많은 인수분의 문제에서 수가 들어가 있는 데에 특히 수중에 이를 경우 이를 경우는 일의 제곱으로 생각하는 경우가 많습니다
21,2YiZrIJzUsk,이를 만 써져있어도 기본적으로 이래 제국과 같잖아요
22,2YiZrIJzUsk,그렇 죠이를 우리가 바라보는 시선이 인수분해 할 거야
23,2YiZrIJzUsk,그건 이래 제법이야
24,2YiZrIJzUsk,이렇게 여러분들이 포인트를 잡으면 잘 보여요
25,2YiZrIJzUsk,한번 볼까요
26,2YiZrIJzUsk,어 이걸 물론 우리가 실제로 계산할 때 분의에서 분의 쓰고 그다음 두 번째 거부 내일이니까 분에 쓰고 그다음에 불에 일이니까 분에 쓰고 이렇게 해서 끝까지 갈 것은 아니란 얘기 요구분의 뭐예요
27,2YiZrIJzUsk,이거 언제 이걸 갖다가 찾아서 약분을 합니까 이렇게 푼 친구들이나 역시 이러면 안 되는 거예요
28,2YiZrIJzUsk,그렇죠
29,2YiZrIJzUsk,그 우리가 이 문제는 어떻게 접근할 거냐면 이를 갖다가 입에 제거 브로 생각해 보면 자에 곱 막 붙여 보자에 곱 백업 제곱 이렇게 붙여볼게요
30,2YiZrIJzUsk,그러면 내일 첫 부분을 보면 이 배재고의 제곱 불의의 제곱이라는 것은 불의의 제곱이다
31,2YiZrIJzUsk,이렇게 바라볼 수 있겠죠
32,2YiZrIJzUsk,이 시선이 필요하고요
33,2YiZrIJzUsk,우리는그러면두번째꺼는회회제국군의의제곱이니까브레인의제곱이렇게바라보는시선이필요하단얘기야그렇다면이건우리가보여요
34,2YiZrIJzUsk,제곱 양 되잖아요
35,2YiZrIJzUsk,품 우린 뭘 해야 돼
36,2YiZrIJzUsk,당연히아곱하기지생각할수있어야되는거예요
