,id,script,tokenize,NER-label,exist_label
0,2YiZrIJzUsk,예 오수학의 다 합창에 곱을 이용한 인수분해 파트 투입니다,"['예', '오', '##수', '##학의', '다', '합', '##창', '##에', '곱', '##을', '이용한', '인수', '##분해', '파', '##트', '투입', '##니다']","['FLD-B', 'FLD-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['FLD', 'FLD']"
1,2YiZrIJzUsk,자 여러분들께서 아마 시중에 문제집들을 보시면요,"['자', '여러분들', '##께서', '아마', '시', '##중에', '문제', '##집', '##들을', '보', '##시면', '##요']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
2,2YiZrIJzUsk,이인 수분해를 쪽 공부할 거야,"['이인', '수', '##분해', '##를', '쪽', '공부', '##할', '거야']","['O', 'O', 'O']",[]
3,2YiZrIJzUsk,그래서 여러분들이 문제집에서 인수분의 마 풀고 공부했어요,"['그래서', '여러분들', '##이', '문제', '##집에서', '인수', '##분의', '마', '풀고', '공부', '##했어요']","['O', 'O', 'O', 'O', 'O', 'O']",[]
4,2YiZrIJzUsk,그리고 나면 뒤쪽에 문제들이 몇 페이지가 나오고 뭐 단원 종합문제라던가 이런 이름이 붙어서 최종적으로 정리하는 파트 있죠,"['그리고', '나면', '뒤', '##쪽에', '문제', '##들이', '몇', '페', '##이지', '##가', '나오고', '뭐', '단', '##원', '종합', '##문제', '##라', '##던가', '이런', '이름이', '붙어서', '최종', '##적으로', '정리', '##하는', '파', '##트', '있죠']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
5,2YiZrIJzUsk,문제 이상 개죽 붙어 있는 거기에서 고난도 이렇게 들어 있는 거암 앞으로 본 적이 있을 겁니다,"['문제', '이상', '개', '##죽', '붙어', '있는', '거기에', '##서', '고난', '##도', '이렇게', '들어', '있는', '거', '##암', '앞으로', '본', '적이', '있을', '겁니다']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
6,2YiZrIJzUsk,그런 고난도 파트에 들어있는 문제예요,"['그런', '고난', '##도', '파', '##트', '##에', '들어', '##있는', '문제', '##예요']","['O', 'O', 'O', 'O', 'O']",[]
7,2YiZrIJzUsk,항상 들어있다는 게 뭐 시험에서 당연히 잘 나온다는 얘기예요,"['항상', '들어', '##있다는', '게', '뭐', '시험', '##에서', '당연히', '잘', '나온다', '##는', '얘기', '##예요']","['O', 'O', 'O', 'O', 'O', 'O']",[]
8,2YiZrIJzUsk,자 이 문제 한 번같이 보도록 하겠습니다 이 수분해 공식을 이용하여 다음을 계산하여라고 이렇고 뭐해 제 부분에 곱하기해서 쭉 해서의 제곱 분의까지 여러분들이 이제 중쯤 돼서 이 강의를 듣고 있다면 늦게 왔어요,"['자', '이', '문제', '한', '번', '##같이', '보도', '##록', '하겠습니다', '이', '수', '##분해', '공식', '##을', '이용하여', '다음', '##을', '계산', '##하여', '##라고', '이렇', '##고', '뭐해', '제', '부분', '##에', '곱', '##하기', '##해서', '쭉', '해서', '##의', '제', '##곱', '분', '##의', '##까지', '여러분들', '##이', '이제', '중', '##쯤', '돼서', '이', '강의', '##를', '듣고', '있다면', '늦게', '왔', '##어요']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
9,2YiZrIJzUsk,설마 이걸 개 직접 하는 걸 아닐 거야,"['설마', '이걸', '개', '직접', '하는', '걸', '아닐', '거야']",[],[]
10,2YiZrIJzUsk,되죠,"['되', '##죠']",['O'],[]
11,2YiZrIJzUsk,정확히 얘기하면 개적 직접 하는 걸 아닐 거라 아니에요,"['정확히', '얘기하면', '개', '##적', '직접', '하는', '걸', '아닐', '거라', '아니에요']","['O', 'O', 'O', 'O']",[]
12,2YiZrIJzUsk,그럼 어떻게 풀어야 할까,"['그럼', '어떻게', '풀어', '##야', '할까']","['O', 'O']",[]
13,2YiZrIJzUsk,지금 우리 제목이 인수분해 공식을 이용하여라고 있잖아요,"['지금', '우리', '제목이', '인수', '##분해', '공식', '##을', '이용하여', '##라고', '있잖아요']","['O', 'O', 'O', 'O', 'O', 'O']",[]
14,2YiZrIJzUsk,그럼 어떤 공식을 이용할까 기본적으로 과로 한 각각을 봤을 때는 항의 개로 이루어져 있어요 수가 따개로 이루어져 있어요,"['그럼', '어떤', '공식', '##을', '이용할', '##까', '기본적으로', '과', '##로', '한', '각각', '##을', '봤', '##을', '때는', '항의', '개', '##로', '이루어', '##져', '있어요', '수가', '따', '##개로', '이루어', '##져', '있어요']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
15,2YiZrIJzUsk,그 개로 이루어져 있는 것 중에 우리가 알고 있는 인수 불의 공식은 바로 제곱 영입이 제고 배용제 줘,"['그', '개', '##로', '이루어', '##져', '있는', '것', '중에', '우리가', '알고', '있는', '인수', '불의', '공식', '##은', '바로', '제', '##곱', '영입', '##이', '제', '##고', '배', '##용', '##제', '줘']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER-B', 'O']",['PER']
16,2YiZrIJzUsk,그게 바로 한 번은 더해주고 한 번은 빼준다,"['그게', '바로', '한', '번', '##은', '더해', '##주고', '한', '번', '##은', '빼', '##준다']","['O', 'O', 'O', 'O']",[]
17,2YiZrIJzUsk,이렇게 인수분해 된다는 결과인 거예요,"['이렇게', '인수', '##분해', '된다는', '결과', '##인', '거예요']","['O', 'O', 'O', 'O', 'O']",[]
18,2YiZrIJzUsk,그렇다면 이 공식을 이용해서 이 문제를 풀어야 돼,"['그렇다면', '이', '공식', '##을', '이용해서', '이', '문제를', '풀어', '##야', '돼']","['O', 'O', 'O', 'O', 'O']",[]
19,2YiZrIJzUsk,근데 잘 안 보여요,"['근데', '잘', '안', '보여', '##요']",['O'],[]
