,id,script,Formal
0,-R0FdCGxATE,출판사 종교입니다,1
1,-R0FdCGxATE,오늘은 중상 과정이 차 감상 활용에 대해서 배워볼 건데요,1
2,-R0FdCGxATE,첫 번째 시간 구매 음식입니다,1
3,-R0FdCGxATE,작은 갱신을 설명하기 앞서 위기 이차방정식이라는 것은 요리라는 방법이 진간장 소개해 준다고 생각해 주시면 좋을 것 같아요,1
4,-R0FdCGxATE,첫 번째로 문제없는 임수 분해를 통한 서색 갓을 찾아내는 방법이 꽤 한두 번째 오늘 배울 내용을 거거든요,1
5,-R0FdCGxATE,인수 너네가 돼지 맞는 문제를 우리가 어떻게 있을까 시작해야 바로 그 냉실을 통하여 서 있을 값을 찾을 수도 있게 됩니다,1
6,-R0FdCGxATE,으아아아 안녕하세요,1
7,-R0FdCGxATE,수영 강사 전경입니다,1
8,-R0FdCGxATE,오늘은 중상 과정이 참전 시 계월 모에 대해서 배워볼 건데요,1
9,-R0FdCGxATE,저희가 지난 시간에 이찬 자식이 풀이를 인수분해를 통하여서 값을 찾아낼 수 있었을 거예요,1
10,-R0FdCGxATE,그런데 문제를 풀어다 보면 분명 이런 것도 시켜요,1
11,-R0FdCGxATE,이수나 깨지 않는 경우도 있거든요,1
12,-R0FdCGxATE,그러면 섹스 가슴 어떻게 찾아내야 되는 지대에서 느 배워보도록 합시다,1
13,-R0FdCGxATE,짜리 예를 들어있는 언어 문제를 해보도록 할게요,1
14,-R0FdCGxATE,여기 에이스 이제는 패,0
15,-R0FdCGxATE,쓰네 명의 안에 차 방정식 이때요,1
16,-R0FdCGxATE,그럼 우리가 인수를 포함해서 걔들 그늘 찾아갈 수 있으면 그런데 박싱데이 수라 되지 않는 것을 확인하실 수 있게 되겠죠,1
17,-R0FdCGxATE,그래서 어떻게 하는지 선생님이 얘기를 해부 족할 거예요,1
18,-R0FdCGxATE,회전의 보니 큰애는 줄 사용하는 전에 이 문제로 바스크 과정에서 처벌을 보았거든요,1
19,-R0FdCGxATE,자 첫 번째 단계는 여제로 와 외에 어떻게 수가 있다면 계속 먼저다 않아 주셔야 합니다,1
20,-R0FdCGxATE,그런데 얘 내일이니까 지난 나는 게 없겠네요,1
21,-R0FdCGxATE,난 두 번째 두 번째는 선량시켜 주시면 되세요,1
22,-R0FdCGxATE,큰서식을다시하면제목했는데이다른낳아짠에이제세번째는게굉장히중요한함께되요,1
23,-R0FdCGxATE,바로 용해,0
24,-R0FdCGxATE,양의 욕실이 완전 세우 시기될 수 있도록 않는 소셜 페리 뭐에 점씩 기억 몽땅 학생분들 있을까,0
25,-R0FdCGxATE,한번 뒤로 갈게요,1
26,-R0FdCGxATE,우리완전색며어가는생각한것아아완를만들기위해서는달몸앞에있는계신항상끼야되어그사회의이사업의있는개수를그냥마물에게큰비를절바흐제코팡카스며바로수아않게되는내려옵니다,1
27,-R0FdCGxATE,아 다시 한번 계수를 저를 만에 제목을 해주면 그것은 산소 아마 바탕 계획돼요,1
28,-R0FdCGxATE,저랑 안에서 카 케어 사실 여기 남아있네,0
29,-R0FdCGxATE,오면서 얼 피아노 보시면 되거든요,1
30,-R0FdCGxATE,뒤에 저를 강의 제목이라고 했어요,1
31,-R0FdCGxATE,여기 나서 꿰어해 절 안의 제목은 살아 될 거고 사항은 수어 안개 짝 짜내서 앤 완전 즉시 대기에서 씨를 다시 자서 하냐 그다음에 완전하게 지를 거해 주시는 거예요,1
