,id,script,tokenize,NER-label,exist_label
0,-R0FdCGxATE,출판사 종교입니다,"['출', '##판사', '종교', '##입니다']","['O', 'O']",[]
1,-R0FdCGxATE,오늘은 중상 과정이 차 감상 활용에 대해서 배워볼 건데요,"['오늘은', '중', '##상', '과정', '##이', '차', '감', '##상', '활용', '##에', '대해서', '배워', '##볼', '건데', '##요']","['DAT-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['DAT']
2,-R0FdCGxATE,첫 번째 시간 구매 음식입니다,"['첫', '번', '##째', '시간', '구매', '음식', '##입니다']","['O', 'O']",[]
3,-R0FdCGxATE,작은 갱신을 설명하기 앞서 위기 이차방정식이라는 것은 요리라는 방법이 진간장 소개해 준다고 생각해 주시면 좋을 것 같아요,"['작은', '갱', '##신을', '설명', '##하기', '앞서', '위기', '이', '##차', '##방', '##정', '##식이', '##라는', '것은', '요리', '##라는', '방법이', '진', '##간', '##장', '소개', '##해', '준다고', '생각해', '주시', '##면', '좋을', '것', '같아요']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'CVL-B', 'O', 'O', 'O', 'O', 'O', 'O']",['CVL']
4,-R0FdCGxATE,첫 번째로 문제없는 임수 분해를 통한 서색 갓을 찾아내는 방법이 꽤 한두 번째 오늘 배울 내용을 거거든요,"['첫', '번', '##째로', '문제', '##없는', '임', '##수', '분', '##해를', '통한', '서', '##색', '갓', '##을', '찾아', '##내는', '방법이', '꽤', '한두', '번', '##째', '오늘', '배울', '내용을', '거', '##거든요']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
5,-R0FdCGxATE,인수 너네가 돼지 맞는 문제를 우리가 어떻게 있을까 시작해야 바로 그 냉실을 통하여 서 있을 값을 찾을 수도 있게 됩니다,"['인수', '너네가', '돼지', '맞는', '문제를', '우리가', '어떻게', '있을까', '시작', '##해야', '바로', '그', '냉', '##실을', '통', '##하여', '서', '있을', '값', '##을', '찾을', '수도', '있게', '됩니다']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
6,-R0FdCGxATE,으아아아 안녕하세요,"['으', '##아아', '##아', '안녕', '##하세요']","['O', 'O', 'O']",[]
7,-R0FdCGxATE,수영 강사 전경입니다,"['수영', '강사', '전', '##경', '##입니다']","['O', 'O']",[]
8,-R0FdCGxATE,오늘은 중상 과정이 참전 시 계월 모에 대해서 배워볼 건데요,"['오늘은', '중', '##상', '과정', '##이', '참전', '시', '계', '##월', '모', '##에', '대해서', '배워', '##볼', '건데', '##요']","['DAT-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['DAT']
9,-R0FdCGxATE,저희가 지난 시간에 이찬 자식이 풀이를 인수분해를 통하여서 값을 찾아낼 수 있었을 거예요,"['저희', '##가', '지난', '시간에', '이찬', '자식이', '풀', '##이를', '인수', '##분해', '##를', '통', '##하여', '##서', '값', '##을', '찾아', '##낼', '수', '있었을', '거예요']","['O', 'O', 'CVL-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['CVL']
10,-R0FdCGxATE,그런데 문제를 풀어다 보면 분명 이런 것도 시켜요,"['그런데', '문제를', '풀어', '##다', '보면', '분명', '이런', '것도', '시켜', '##요']","['O', 'O', 'O', 'O']",[]
11,-R0FdCGxATE,이수나 깨지 않는 경우도 있거든요,"['이수', '##나', '깨', '##지', '않는', '경우도', '있거든', '##요']","['O', 'O', 'O', 'O', 'O']",[]
12,-R0FdCGxATE,그러면 섹스 가슴 어떻게 찾아내야 되는 지대에서 느 배워보도록 합시다,"['그러면', '섹스', '가슴', '어떻게', '찾아', '##내야', '되는', '지', '##대에서', '느', '배워', '##보도', '##록', '합시다']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
13,-R0FdCGxATE,짜리 예를 들어있는 언어 문제를 해보도록 할게요,"['짜리', '예를', '들어', '##있는', '언어', '문제를', '해보', '##도록', '할게', '##요']","['O', 'O', 'O', 'O']",[]
14,-R0FdCGxATE,여기 에이스 이제는 패,"['여기', '에이', '##스', '이제는', '패']","['O', 'O']",[]
15,-R0FdCGxATE,쓰네 명의 안에 차 방정식 이때요,"['쓰네', '명의', '안에', '차', '방', '##정', '##식', '이때', '##요']","['O', 'O', 'O']",[]
16,-R0FdCGxATE,그럼 우리가 인수를 포함해서 걔들 그늘 찾아갈 수 있으면 그런데 박싱데이 수라 되지 않는 것을 확인하실 수 있게 되겠죠,"['그럼', '우리가', '인수', '##를', '포함해서', '걔', '##들', '그', '##늘', '찾아', '##갈', '수', '있으면', '그런데', '박', '##싱', '##데이', '수', '##라', '되지', '않는', '것을', '확인', '##하실', '수', '있게', '되', '##겠죠']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
17,-R0FdCGxATE,그래서 어떻게 하는지 선생님이 얘기를 해부 족할 거예요,"['그래서', '어떻게', '하는지', '선생님', '##이', '얘기를', '해', '##부', '족', '##할', '거예요']","['O', 'O', 'O', 'CVL-B', 'O', 'O', 'O', 'O', 'O']",['CVL']
18,-R0FdCGxATE,회전의 보니 큰애는 줄 사용하는 전에 이 문제로 바스크 과정에서 처벌을 보았거든요,"['회', '##전', '##의', '보니', '큰', '##애는', '줄', '사용하는', '전에', '이', '문제로', '바', '##스크', '과정에서', '처벌을', '보았', '##거든요']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
19,-R0FdCGxATE,자 첫 번째 단계는 여제로 와 외에 어떻게 수가 있다면 계속 먼저다 않아 주셔야 합니다,"['자', '첫', '번', '##째', '단계', '##는', '여', '##제로', '와', '외에', '어떻게', '수가', '있다면', '계속', '먼저다', '않아', '주', '##셔야', '합니다']","['NUM-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['NUM']
20,-R0FdCGxATE,그런데 얘 내일이니까 지난 나는 게 없겠네요,"['그런데', '얘', '내일', '##이니까', '지난', '나는', '게', '없', '##겠네요']","['O', 'O', 'O']",[]
21,-R0FdCGxATE,난 두 번째 두 번째는 선량시켜 주시면 되세요,"['난', '두', '번', '##째', '두', '번', '##째', '##는', '선', '##량', '##시켜', '주시', '##면', '되', '##세요']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
22,-R0FdCGxATE,큰서식을다시하면제목했는데이다른낳아짠에이제세번째는게굉장히중요한함께되요,"['큰', '##서', '##식을', '##다시', '##하면', '##제목', '##했는데', '##이다', '##른', '##낳', '##아', '##짠', '##에', '##이제', '##세', '##번째', '##는게', '##굉', '##장', '##히', '##중요', '##한', '##함께', '##되요']","['O', 'O', 'O', 'O', 'O', 'O', 'PER-B', 'PER-B', 'PER-B', 'PER-B', 'ORG-B', 'O', 'O', 'NUM-B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PER', 'PER', 'PER', 'PER', 'ORG', 'NUM']"
23,-R0FdCGxATE,바로 용해,"['바로', '용', '##해']",['O'],[]
24,-R0FdCGxATE,양의 욕실이 완전 세우 시기될 수 있도록 않는 소셜 페리 뭐에 점씩 기억 몽땅 학생분들 있을까,"['양', '##의', '욕', '##실이', '완전', '세우', '시기', '##될', '수', '있도록', '않는', '소', '##셜', '페', '##리', '뭐', '##에', '점', '##씩', '기억', '몽땅', '학생', '##분들', '있을까']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
25,-R0FdCGxATE,한번 뒤로 갈게요,"['한번', '뒤로', '갈', '##게요']",['O'],[]
