,dict
0,소수점
1,대분수
2,법칙
3,구구단
4,약수
5,역수
6,에프엑스
7,이차식
8,함수
9,상수항
10,대수학
11,더하기
12,방정식
13,절댓값
14,그래프
15,복소수
16,상수
17,콤마
18,거듭제곱
19,뻴셈
20,무리수
21,지수
22,루트
23,지름
24,등식
25,곱하기
26,제곱근
27,마이너스
28,수치
29,적분
30,고차방정식
31,평행
32,삼각형
33,나머지
34,차식
35,변수
36,사각형
37,확률
38,코사인
39,가분수
40,대입
41,정사각형
42,등호
43,유리수
44,평균
45,항등식
46,오각형
47,좌변
48,플러스
49,분수
50,기호
51,세제곱
52,나눗셈
53,너비
54,덧셈
55,분자
56,근호
57,통분
58,부등식
59,자연수
60,내항
61,다항식
62,부등호
63,벡터
64,공식
65,소인수
66,괄호
67,중괄호
68,대괄호
69,플러스마이너스
70,소인수
71,부호
72,분모
73,수학
74,삼각함수
75,단항식
76,짝수
77,미지수
78,소수
79,양변
80,동류항
81,최소공배수
82,약분
83,꼭짓점
84,좌표계
85,분산
86,허수부
87,수직
88,각도
89,비율
90,기수
91,진수
92,연산
93,배수
94,직사각형
95,급수
96,음수
97,정수
98,명제
99,공통분모
100,쌍곡선
101,합계
102,최고차항
103,정의역
104,둘레
105,조립제법
106,원형
107,차수
108,허수
109,넓이
110,단항
111,대각선
112,반지름
113,인수
114,홀수
115,제곱
116,수분
117,분해
118,전개
119,분의
120,세모
121,계수
122,숫자
123,우변
124,네모
125,계산
126,정리
127,차원
128,프라임
129,베타
130,과정
