,stopword
0,음악
1,가까스로
2,가량
3,가령
4,가민
5,가민커넥트
6,가슴
7,가슴살
8,각
9,가지
10,각각
11,각자
12,각종
13,갖고말하자면
14,같다
15,같이
16,개발
17,개발자
18,개별로
19,개월
20,개의치않고
21,거기
22,거니와
23,거바
24,거의
25,건데
26,건지
27,걸까요
28,걸로
29,것
30,것과 같이
31,것들
32,게다가
33,게요
34,게우다
35,겨우
36,견지에서
37,결과에 이르다
38,결국
39,결론을 낼 수 있다
40,겸사겸사
41,경우
42,계속
43,고감
44,고로
45,곧
46,고려하면
47,고민
48,고생
49,고요
50,공동으로
51,과
52,과연
53,관계가 있다
54,관련
55,관련이 있다
56,관리자
57,관한
58,관하여
59,관해서는
60,구
61,구글플레이스토어
62,구체적으로
63,구토하다
64,귀차 니즘
65,귀차니즘
66,그
67,그거
68,그건
69,그걸
70,그걸로
71,그것
72,그게
73,그곳
74,그날
75,그동안
76,그들
77,그때
78,그래
79,그래도
80,그래서
81,그램
82,그러나
83,그러니
84,그러니까
85,그러면
86,그러므로
87,그러한즉
88,그럼
89,그렇게 함으로써
90,그렇지
91,그렇지만
92,그리고
93,그리하여
94,그에 따르는
95,그위에
96,그인
97,그저
98,그중에서
99,근거로
100,근거하여
101,금요일
102,기능
103,기대여
104,기모
105,기점으로
106,기준으로
107,기타
108,기프
109,까닭으로
110,까악
111,까지 미치다
112,까지도
113,꽈당
114,끙끙
115,끼익
116,나
117,나름
118,나머지는
119,나세
120,나용
121,나이키
122,나중
123,난리
124,남들
125,남자
126,남짓
127,내게
128,내요
129,내일
130,너
131,너희
132,너희들
133,네
134,넷
135,네요
136,넷째
137,년
138,논하지 않다
139,누가
140,누가 알겠는가
141,누구
142,누군가
143,눔
144,느낌
145,니다
146,니스
147,니즘
148,다노
149,다른
150,다른 방면으로
151,다리
152,다만
153,다섯
154,다소
155,다수
156,다시 말하자면
157,다시말하면
158,다신
159,다운
160,다음
161,다음에
162,다음으로
163,다행
164,단지
165,달째
166,답니다
167,답다
168,답변
169,답장
170,당신
171,당장
172,대로
173,대로 하다
174,대박
175,대부분
176,대신
177,대하면
178,대하여
179,대해 말하자면
180,대해서
181,댕그
182,더구나
183,더군다나
184,더라도
185,더불어
186,더욱더
187,더욱이는
188,덕분
189,데이
190,도달하다
191,도로
192,도장
193,도중
194,도착하다
195,돈모
196,동시에
197,동안
198,돼지
199,된바에야
200,된이상
201,둘
202,두번째로
203,둘째
204,둥둥
205,뒤따라
206,뒤이어
207,드림
208,드립
209,든간에
210,들
211,듯이
212,등
213,등등
214,딩동
215,딱
216,따라
217,따라서
218,따위
219,따지지 않다
220,때
221,때가 되어
222,때문
223,때문에
224,또
225,또한
226,뚝뚝
227,라 해도
228,라이
229,라이크핏
230,런데이
231,런키퍼
232,려고
233,령
234,로
235,로 인하여
236,로부터
237,로써
238,륙
239,를
240,립니
241,립도
242,마니
243,마보
244,마음대로
245,마이
246,마저
247,마저도
248,마지막
249,마찬가지
250,마치
251,막론하고
252,만약
253,만약에
254,만은 아니다
255,만이 아니다
256,만일
257,만점
258,만큼
259,만큼어찌됏든
260,많이
261,말하자면
262,매
263,매번
264,머리
265,먼가
266,멘트
267,며칠
268,몇
269,며칠
270,몇일
271,모
272,모두
273,모우
274,무렵
275,무릎쓰고
276,무슨
277,무언가
278,무엇
279,무엇때문에
280,물론
281,뭔가
282,뭔지
283,뭘까요
284,미스핏
285,및
286,바꾸어말하면
287,바꾸어말하자면
288,바꾸어서 말하면
289,바꾸어서 한다면
290,바꿔 말하면
291,바로
292,바와같이
293,바이탈리티
294,반대로 말하자면
295,반드시
296,발신
297,방학
298,버금
299,버니
300,버전
301,번창
302,벌기
303,베리
304,별개
305,별거
306,보가
307,보는데서
308,보다더
309,보드득
310,보통
311,복부
312,본대로
313,본인
314,봐
315,봐라
316,부류의 사람들
317,부분
318,부정사
319,부터
320,분도
321,불구하고
322,불문하고
323,붕붕
324,비걱거리다
325,비교적
326,비길수 없다
327,비로소
328,비록
329,비슷하다
330,비추
331,비추어 보아
332,비하면
333,뿐만 아니라
334,뿐만아니라
335,사
336,사람
337,사실
338,사용
339,사합
340,사항
341,삼
342,삼성
343,삼성헬스
344,상단
345,상대
346,상대적으로 말하자면
347,생각
348,생각한대로
349,샤오미
350,서비스
351,서요
352,서울
353,석조
354,설령
355,설마
356,설사
357,셋
358,세븐
359,세상
360,셋째
361,소비자
362,소생
363,소소
364,소인
365,솨
366,수고
367,수도
368,수십
369,수요일
370,순간
371,순토
372,쉿
373,스마트
374,스텝업
375,스트라바
376,슬라이드
377,습니까
378,습니다
379,시가
380,시각
381,시간
382,시분
383,시일
384,시작하여
385,시초에
386,시키다
387,식스
388,식스팩
389,실로
390,실수
391,실제
392,실화
393,심지어
394,아
395,아니
396,아니라면
397,아니면
398,아니었다면
399,아래
400,아래윗
401,아무
402,아무것
403,아무거나
404,아무도
405,아버님
406,아버지
407,아보카도
408,아부지
409,아빠
410,아야
411,아연
412,아이
413,앗
414,아영
415,아울러
416,아이고
417,아이구
418,아이린
419,아이야
420,아이쿠
421,아침
422,아하
423,아홉
424,안 그러면
425,안녕
426,안함
427,않기 위하여
428,않기 위해서
429,알 수 있다
430,알았어
431,앞에서
432,앞의것
433,애니핏
434,애용
435,애초
436,애플리케이션
437,야
438,약간
439,양자
440,어
441,어기여차
442,어느
443,어느 년도
444,어느것
445,어느곳
446,어느때
447,어느쪽
448,어느해
449,어디
450,어때
451,어떻해
452,어머니
453,어머님
454,어무님
455,어이
456,어제
457,어째서
458,어쨋든
459,어쩔수 없다
460,어찌
461,어찌됏어
462,어찌하든지
463,어찌하여
464,언니
465,언제
466,언젠가
467,얼마
468,얼마 안 되는 것
469,얼마간
470,얼마나
471,얼마든지
472,얼마만큼
473,얼마큼
474,엄마
475,업체
476,엉엉
477,에
478,에 가서
479,에 달려 있다
480,에 대해
481,에 있다
482,에 한하다
483,에게
484,에서
485,여
486,여기
487,영
488,여덟
489,여러분
490,여름
491,여보시오
492,여부
493,여섯
494,여자
495,여전히
496,여차
497,연관되다
498,연이서
499,염호
500,영
501,영차
502,옆사람
503,예
504,예고
505,예를 들면
506,예를 들자면
507,예전
508,예컨대
509,예하면
510,옛날
511,오
512,오늘
513,오랜만
514,오로지
515,오르다
516,오른쪽
517,오브
518,오자마자
519,오전
520,오직
521,오호
522,오후
523,오히려
524,올해
525,와
526,와 같은 사람들
527,와르르
528,와아
529,와우
530,완전
531,왜
532,왜냐하면
533,외에도
534,왼쪽
535,요거
536,요만큼
537,요만한 것
538,요만한걸
539,요번
540,요일
541,요즘
542,요컨대
543,우르르
544,우리
545,우리들
546,우분
547,우선
548,우에 종합한것과같이
549,우왕
550,우울
551,운운
552,워킹패드
553,원래
554,원이
555,월
556,월드
557,월요일
558,월일
559,위에서 서술한바와같이
560,위즈
561,위하여
562,위해서
563,윙윙
564,육
565,유사소
566,으로
567,으로 인하여
568,으로서
569,으로써
570,은근
571,을
572,응
573,응당
574,의
575,의거하여
576,의지하여
577,의해
578,의해되다
579,의해서
580,이
581,이 되다
582,이 때문에
583,이 밖에
584,이 외에
585,이 정도의
586,이거
587,이건
588,이걸
589,이걸로
590,이것
591,이것저것
592,이게
593,이곳
594,이닝
595,이때
596,이래
597,이러한
598,이런
599,이러이러하다
600,이럴정도로
601,이렇게 많은 것
602,이렇게되면
603,이렇게말하자면
604,이렇구나
605,이와같다면
606,이용하여
607,일
608,이라면
609,이로 인하여
610,이르기까지
611,이리하여
612,이만큼
613,이번
614,이봐
615,이상
616,이어서
617,이었다
618,이와 같다
619,이와 같은
620,이와 반대로
621,이외
622,이외에도
623,이용
624,이유만으로
625,이전
626,이제
627,이젠
628,이지만
629,이쪽
630,이천구
631,이천육
632,이천칠
633,이천팔
634,이타
635,이틀
636,이후
637,인 듯하다
638,인간
639,인대
640,인데
641,인생
642,인젠
643,일
644,일것이다
645,일곱
646,일단
647,일때
648,일반
649,일반적으로
650,일방
651,일부
652,일석
653,일시
654,일요일
655,일전
656,일주
657,일주일
658,일지라도
659,일차
660,일후
661,임에 틀림없다
662,입각하여
663,입장에서
664,잇따라
665,있다
666,자
667,자기
668,자기집
669,자네
670,자마자
671,자분
672,자신
673,자요
674,자체
675,작심삼일
676,작자
677,잠깐
678,잠시
679,장난
680,장점
681,저
682,저것
683,저것만큼
684,저기
685,저번
686,저질
687,저쪽
688,저희
689,전반
690,전부
691,전신
692,전자
693,전체
694,전후
695,절대
696,점에서 보아
697,정도
698,정도에 이르다
699,정식
700,제
701,제각기
702,제발
703,제외하고
704,제작자
705,조금
706,졸졸
707,좀
708,종일
709,좍좍
710,주간
711,주룩주룩
712,주심
713,주일
714,주저하지 않고
715,줄은모른다
716,중간
717,중에서
718,중의하나
719,즈음하여
720,즉
721,즉시
722,지경
723,지금
724,지든지
725,지만
726,지말고
727,지요
728,진심
729,진짜
730,진짜로
731,쪽으로
732,찬데
733,참
734,처음
735,천보
736,첫날
737,첫번째로
738,첫째
739,쳇
740,총적으로
741,총적으로 말하면
742,총적으로 보면
743,최근
744,출시
745,칠
746,캐슬
747,캐시슬라이드
748,캐시워크
749,코아
750,코인스텝
751,콸콸
752,쾅쾅
753,쿵
754,타다
755,타인
756,탕탕
757,태산
758,터리
759,테크
760,텐데
761,토요일
762,토하다
763,통하여
764,툭
765,투게더
766,퉤
767,트라
768,틈타
769,티콘
770,팍
771,팔
772,팔뚝
773,퍽
774,펄렁
775,평소
776,평일
777,프로
778,플렝
779,플로
780,핏데이
781,하
782,하게될것이다
783,하게하다
784,하겠는가
785,하고 있다
786,하고있었다
787,하곤하였다
788,하구나
789,하기 때문에
790,하기 위하여
791,하기는한데
792,하기만 하면
793,하기보다는
794,하기에
795,하나
796,하나멤버스
797,하느니
798,하는 김에
799,하는것도
800,하는바
801,하더라도
802,하도다
803,하도록시키다
804,하도록하다
805,하든지
806,하려고하다
807,하루
808,하마터면
809,하면 할수록
810,하면된다
811,하면서
812,하물며
813,하여금
814,하여야
815,하자마자
816,하하
817,학교
818,한 까닭에
819,한 이유는
820,한 후
821,한국
822,한달
823,한다면
824,한다면 몰라도
825,한데
826,한동안
827,한마디
828,한적이있다
829,한참
830,한켠으로는
831,한항목
832,할 따름이다
833,할 생각이다
834,할 줄 안다
835,할 지경이다
836,할 힘이 있다
837,할때
838,할만
839,할만하다
840,할망정
841,할뿐
842,할수있다
843,할수있어
844,할줄알다
845,할지라도
846,할지언정
847,함께
848,해당
849,해도된다
850,해도좋다
851,해보
852,해봐요
853,해서는 안된다
854,해야한다
855,해요
856,했어요
857,향하다
858,향하여
859,향해서
860,허
861,허걱
862,헉
863,허벅지
864,허허
865,헉헉
866,헐떡헐떡
867,헬창
868,현재
869,형식으로 쓰여
870,혹시
871,혹은
872,혼자
873,화요일
874,화웨이
875,효과
876,훨씬
877,휘익
878,휴
879,흐흐
880,흥
881,힘입어
882,는데
883,아요
884,어요
885,어서
