,text,start,duration,video_id
0,이번 시간에는 인수 분해 에 대해서 알아보도록 하겠습니다,0.47,10.68,6pQVhPBrfbw
1,자 2인 수분의 는요 우리가 앞서 배웠던 곱셈 공식과 아주 밀접한 관련이,4.64,7.89,6pQVhPBrfbw
2,있습니다,11.15,7.74,6pQVhPBrfbw
3,곱셈 공식 은 언제 필요하냐 하면 요 이 다항식 뜰의 곱을 1 전개하는,12.53,8.94,6pQVhPBrfbw
4,데 필요했던 공식들이 얻죠,18.89,8.879,6pQVhPBrfbw
5,자 그렇다면 당시 게 곳들을 전개한다는 것이 이인수 분의 와 어떤,21.47,9.629,6pQVhPBrfbw
6,관련성이 있는지 같이 한번 살펴보겠습니다,27.769,7.38,6pQVhPBrfbw
7,우리 곱셈 공식 배우면서 이런거 했던 기억이 있을 거에요,31.099,9.901,6pQVhPBrfbw
8,뭐냐면 x - 이라는 다음 식과 x - 이라는 다음 식을 고 파게 되면,35.149,7.41,6pQVhPBrfbw
9,어떻게 된다,41.0,5.07,6pQVhPBrfbw
10,x 제곱 - 3 x 플러스 2 가 된다,42.559,9.18,6pQVhPBrfbw
11,그래서 유 두 다항식의 곱셈 을 하나의 당 식으로 표현할 수 있다,46.07,11.509,6pQVhPBrfbw
12,나는 걸 배웠는데 그때 이쪽에서 일로 이렇게 넘어가는 과정을 우리가,51.739,9.631,6pQVhPBrfbw
13,전개한다 이렇게 표현을 했었습니다,57.579,9.611,6pQVhPBrfbw
14,기억나시죠 자 그렇다면 일쑤 분해 라는 건 뭘 얘기 하냐면 요 예,61.37,12.32,6pQVhPBrfbw
15,이쪽에서 1루 넘어오는 과정을 인수분해 라고 얘기를 합니다,67.19,6.5,6pQVhPBrfbw
16,그래서 이 둘의 차이점은 뭐냐면 전개 나는 것은 두 개 이상의 다항식 을,73.759,10.29,6pQVhPBrfbw
17,곱해서 하나의 다항식 으로 표현하는 거고요,79.85,11.04,6pQVhPBrfbw
18,인수분해 라는 것은 하나의 다항식 을 2개 이상의 다항식 에 곱으로,84.049,10.651,6pQVhPBrfbw
19,표현하는 게 바로 인수분해 해요,90.89,12.0,6pQVhPBrfbw
20,이때 이 당시 x - 1과 x - 이를 요 뭐라고 부르냐 하면 이우 변에,94.7,14.22,6pQVhPBrfbw
21,있는 방식 x 제곱 - 3 x 플러스 e 에 인수 들이다 이렇게 얘기를,102.89,7.049,6pQVhPBrfbw
22,합니다,108.92,7.769,6pQVhPBrfbw
23,따라서 하나의 당시 글 1 인수 들로 분해하여 그것들의 곱으로 표현했다,109.939,10.831,6pQVhPBrfbw
24,라는 의미로 우리가 이름을 인수분해 라고 붙인 거예요,116.689,7.951,6pQVhPBrfbw
25,자 여기까지 말씀을 드리면 학생들이 질문을 합니다,120.77,9.54,6pQVhPBrfbw
26,근데요 선생님 제가 어떤걸 왔냐 하면 예를 들면 파리 라는 숫자를 요 4,124.64,12.09,6pQVhPBrfbw
27,y 의 곱으로 표현한 것도 인수분해 라고 하던데 이것도 맞는건가요,130.31,11.88,6pQVhPBrfbw
28,이렇게 질문을 합니다 자 여러분들 제가 지금 뭐라고 했냐면 하나의 당시,136.73,10.68,6pQVhPBrfbw
29,글 2개 이상의 다항식의 곱으로 표현하는 것이 인수 분해 다 라고 말씀을,142.19,6.269,6pQVhPBrfbw
30,드렸죠,147.41,3.659,6pQVhPBrfbw
31,그러면 다항식 이라는 게 뭐예요,148.459,9.18,6pQVhPBrfbw
32,다항식 은 하나 이상의 다낭 식 뜰의 덧셈 혹은 뺄셈 으로 묶여 진,151.069,9.631,6pQVhPBrfbw
33,시기다 라고 우리가 배웠습니다,157.639,6.991,6pQVhPBrfbw
34,그러면 다낭 식도 다항식의 포함이 되는 거고요,160.7,7.71,6pQVhPBrfbw
35,이 다낭 시계는 상수 항의 라는 것이 있습니다,164.63,9.689,6pQVhPBrfbw
36,상수 왕은 숫자만 존재하는 항의 줘 즉 문자가 곱해 져 있지 않은 것을,168.41,7.62,6pQVhPBrfbw
37,우리가 상상 이라고 불러요,174.319,2.161,6pQVhPBrfbw
38,탈,176.03,5.069,6pQVhPBrfbw
39,상수 항 입니다 그러면 팔도 상수 항의 니까,176.48,10.589,6pQVhPBrfbw
40,다낭 식이고 다낭 시키니까 다항식의 표현이 되요 포함이 되요 그럼 사와,181.099,9.151,6pQVhPBrfbw
